30	4325	9326	14767
29	5364	7087	20239
28	3988	4064	21126
27	3166	2877	12882
26	1854	8967	31963
25	4997	4948	23554
24	5636	6221	18231
23	5240	6108	31142
22	4206	4983	26185
21	3010	2994	15904
20	338	3111	17434
19	3726	8068	22366
18	2277	6937	15632
17	2112	6696	30336
16	363	6667	10387
15	101	1227	11922
14	426	2683	33443
13	5587	8093	29802
12	1724	9994	12044
11	1827	7441	17995
10	4155	2751	11581
9	3493	6798	17585
8	4747	7905	33033
7	4188	7825	13562
6	1167	4815	15473
5	2086	3333	12494
4	4341	4458	23185
3	2610	7103	22293
2	3820	6776	13707
1	2523	7018	13886
